timestamps,TP9,AF7,AF8,TP10,Right AUX
1575280167.082,287.109,-973.145,999.512,460.449,-58.594
1575280167.085,-740.723,-970.703,-998.535,-768.066,191.406
1575280167.089,253.906,-970.215,987.793,341.797,137.207
1575280167.093,-968.750,-970.215,955.078,-924.316,-163.086
1575280167.097,-1000.000,-970.215,-882.812,-1000.000,-336.914
1575280167.101,17.090,-970.703,25.879,23.438,-134.766
1575280167.105,-754.883,-970.215,-1000.000,-771.973,159.180
1575280167.109,437.500,-970.215,-928.711,502.441,157.715
1575280167.113,-877.930,-970.215,-957.520,-822.266,-114.258
1575280167.117,-1000.000,-970.215,-972.656,-1000.000,-362.305
1575280167.121,-187.500,-970.215,-970.215,-192.383,-217.773
1575280167.124,-811.035,-970.215,-970.703,-813.965,122.070
1575280167.128,525.879,-970.215,-970.215,491.699,180.176
1575280167.132,-854.980,-970.215,-970.215,-851.074,-116.699
1575280167.136,-1000.000,-970.215,-970.215,-1000.000,-399.414
1575280167.140,-210.449,-970.215,-970.215,-463.867,-274.414
1575280167.144,-813.477,-970.215,-970.703,-916.992,67.383
1575280167.148,460.449,-970.215,-970.703,339.355,159.668
1575280167.152,-878.418,-970.215,-970.215,-1000.000,-77.148
1575280167.156,-1000.000,-970.215,-970.215,-909.180,-400.879
1575280167.160,-562.500,-970.215,-970.215,-1000.000,-340.332
1575280167.164,-974.121,-970.215,-970.215,105.469,53.223
1575280167.167,530.762,-970.215,-970.215,324.707,223.145
1575280167.171,-925.781,-970.215,-970.215,-1000.000,-12.695
1575280167.175,-1000.000,-970.215,-970.215,-902.344,-333.496
1575280167.179,-862.305,-971.680,-970.215,-1000.000,-352.051
1575280167.183,630.859,-962.891,-970.215,-71.289,-110.840
1575280167.187,816.895,-982.910,-970.215,333.984,166.504
1575280167.191,-778.809,-952.637,-970.215,-1000.000,70.312
1575280167.195,-996.582,-854.980,-970.215,-990.234,-327.637
1575280167.199,-1000.000,-949.219,-970.215,-932.129,-708.496
1575280167.203,214.355,-983.887,-970.215,-978.516,-753.906
1575280167.207,915.527,-962.402,-970.215,-970.215,-336.914
1575280167.210,-706.055,-972.168,-970.215,-970.215,-17.090
1575280167.214,-990.234,-970.215,-970.215,-970.215,-205.078
1575280167.218,-1000.000,-970.215,-970.703,-970.215,-642.090
1575280167.222,-137.695,-970.215,-970.215,-970.215,-812.988
1575280167.226,937.012,-970.215,-970.215,-970.215,-354.980
1575280167.230,-559.082,-970.215,-970.215,-970.215,165.527
1575280167.234,-1000.000,-970.215,-970.215,-970.215,-26.367
1575280167.238,-1000.000,-970.215,-970.215,-970.215,-533.691
1575280167.242,-209.961,-970.215,-970.215,-970.215,-798.340
1575280167.246,-880.859,-970.215,-970.215,-970.215,-481.934
1575280167.249,-249.023,-970.215,-970.215,-970.215,78.613
1575280167.253,-1000.000,-970.215,-970.215,-970.215,207.520
1575280167.257,-1000.000,-970.215,-970.215,-970.215,-255.859
1575280167.261,-254.883,-970.215,-970.215,-970.215,-691.406
1575280167.265,-791.016,-970.215,-970.215,-970.215,-460.449
1575280167.269,201.660,-970.215,-970.215,-970.703,232.422
1575280167.273,-1000.000,-970.215,-970.215,-970.215,407.715
1575280167.277,-1000.000,-970.215,-970.215,-970.215,-93.262
1575280167.281,-233.398,-970.215,-970.215,-970.215,-280.762
1575280167.285,-797.363,-970.215,-970.215,-970.215,29.297
1575280167.289,351.562,-970.215,-970.215,-970.703,314.941
1575280167.292,-950.195,-970.215,-970.215,-972.168,357.910
1575280167.296,-1000.000,-970.215,-970.215,-934.570,-4.395
1575280167.300,-221.191,-970.215,-970.215,-1000.000,-388.672
1575280167.304,-834.473,-970.215,-970.215,-461.914,-352.539
1575280167.308,634.766,-970.215,-970.215,-306.152,171.875
1575280167.312,-765.137,-970.215,-970.215,-1000.000,318.848
1575280167.316,-1000.000,-970.215,-970.215,-903.809,-115.234
1575280167.320,-165.039,-970.215,-970.215,-1000.000,-503.906
1575280167.324,-941.406,-970.215,-970.215,-48.340,-443.848
1575280167.328,995.117,-970.215,-970.215,319.824,143.555
1575280167.332,-261.230,-970.215,-970.215,-1000.000,444.336
1575280167.335,-1000.000,-970.215,-970.215,-909.180,141.113
1575280167.339,-154.785,-970.215,-970.215,-1000.000,-327.148
1575280167.343,-979.004,-970.215,-970.215,-77.148,-371.582
1575280167.347,-911.621,-970.215,-970.215,665.039,186.523
1575280167.351,24.414,-970.215,-970.215,-856.934,476.562
1575280167.355,-1000.000,-970.215,-970.215,-981.445,264.648
1575280167.359,-301.758,-970.215,-970.215,-1000.000,-174.805
1575280167.363,959.961,-970.215,-970.215,-209.473,-395.020
1575280167.367,-869.141,-970.215,-970.703,-879.395,175.293
1575280167.371,235.840,-970.215,-970.215,-209.473,656.738
1575280167.374,-1000.000,-970.215,-970.215,-1000.000,290.527
1575280167.378,-501.953,-970.703,-970.703,-1000.000,-166.992
1575280167.382,882.324,-970.215,-970.215,-238.770,-233.887
1575280167.386,-838.379,-970.215,-970.215,-793.457,149.414
1575280167.390,224.609,-970.215,-970.215,155.762,596.191
1575280167.394,-1000.000,-973.145,-977.051,-1000.000,528.320
1575280167.398,-751.953,-955.566,-942.383,-1000.000,45.410
1575280167.402,621.094,-931.152,-956.055,-220.215,-196.777
1575280167.406,-779.785,-1000.000,-1000.000,-793.457,289.062
1575280167.410,179.199,50.293,226.562,276.855,820.312
1575280167.414,-1000.000,-878.418,-864.258,-981.445,627.930
1575280167.417,-1000.000,952.148,937.012,-1000.000,225.098
1575280167.421,166.992,989.746,-1000.000,-183.105,-19.531
1575280167.425,-732.910,-999.023,999.512,-824.707,210.938
1575280167.429,225.586,999.512,999.512,604.492,779.785
1575280167.433,-968.750,999.512,999.512,-759.277,770.508
1575280167.437,-1000.000,999.512,999.512,-1000.000,56.641
1575280167.441,-108.398,999.512,999.512,-139.648,-172.363
1575280167.445,-774.902,999.512,999.512,-921.875,565.918
1575280167.449,446.289,999.512,999.512,952.148,819.824
1575280167.453,-886.719,999.512,999.512,-299.316,8.301
1575280167.456,-1000.000,999.512,999.512,-1000.000,-451.172
1575280167.460,-215.820,999.512,999.512,-165.039,-297.363
1575280167.464,-821.289,999.512,999.512,-909.180,120.605
1575280167.468,554.199,999.512,999.512,922.363,238.281
1575280167.472,-841.309,999.512,999.512,-351.562,-98.633
