timestamps,TP9,AF7,AF8,TP10,Right AUX
1574477754.243,-1.465,34.668,27.832,0.977,-36.621
1574477754.247,10.742,35.156,26.367,2.930,47.363
1574477754.251,-1.953,34.668,31.738,-1.953,0.977
1574477754.255,-6.836,34.180,37.109,-7.812,3.418
1574477754.259,-0.488,32.715,35.156,-5.859,18.066
1574477754.263,16.602,39.551,31.250,15.625,41.504
1574477754.267,27.344,44.434,25.391,37.598,49.316
1574477754.271,20.020,43.457,30.273,23.926,67.383
1574477754.274,10.254,45.410,38.086,18.555,75.684
1574477754.278,9.277,47.363,39.062,20.020,79.590
1574477754.282,8.301,40.039,40.527,10.742,102.051
1574477754.286,9.766,34.668,34.668,12.695,40.039
1574477754.290,10.254,30.762,26.855,5.371,57.617
1574477754.294,2.441,28.809,29.785,-0.488,103.027
1574477754.298,-4.883,36.621,26.367,17.090,75.195
1574477754.302,1.465,35.645,20.508,26.855,11.230
1574477754.306,17.578,34.668,20.508,12.695,28.320
1574477754.310,23.438,37.109,19.043,9.277,56.641
1574477754.314,14.648,31.250,16.602,17.578,44.434
1574477754.317,4.883,30.762,15.137,13.672,30.273
1574477754.321,6.836,34.668,23.926,8.789,56.152
1574477754.325,10.742,34.180,29.297,20.020,24.414
1574477754.329,8.301,30.273,24.902,23.926,-50.293
1574477754.333,0.977,25.391,20.996,9.766,27.832
1574477754.337,-2.930,21.973,18.555,4.883,31.738
1574477754.341,-2.441,19.531,18.555,8.301,25.879
1574477754.345,6.348,23.926,25.391,7.812,37.598
1574477754.349,16.602,33.203,32.227,33.691,16.602
1574477754.353,13.184,33.691,28.809,38.086,-9.277
1574477754.357,-5.371,31.250,18.066,9.766,-4.883
1574477754.360,-7.324,36.133,6.348,18.555,36.621
1574477754.364,17.090,31.738,6.836,28.320,28.320
1574477754.368,33.691,25.879,16.113,31.738,8.789
1574477754.372,17.090,29.785,28.320,34.180,11.719
1574477754.376,-10.742,30.762,34.668,12.695,-11.719
1574477754.380,-26.367,32.227,31.250,-4.395,38.086
1574477754.384,-27.344,30.762,24.902,8.301,26.367
1574477754.388,-9.277,31.250,20.020,46.875,-52.734
1574477754.392,-7.812,32.227,19.531,27.832,-29.785
1574477754.396,-8.301,24.902,25.879,9.766,-7.324
1574477754.399,-0.977,23.438,32.227,20.508,14.160
1574477754.403,-1.953,27.832,30.762,4.395,35.156
1574477754.407,-3.418,28.320,23.438,-1.953,61.035
1574477754.411,3.418,29.297,17.090,-4.395,33.691
1574477754.415,0.488,31.738,24.902,-6.348,19.531
1574477754.419,-7.324,32.227,24.414,-15.625,48.828
1574477754.423,-0.977,30.762,14.160,-10.742,64.453
1574477754.427,8.789,28.809,20.508,-7.812,40.527
1574477754.431,7.324,27.832,18.066,-12.695,3.906
1574477754.435,-20.508,20.508,19.531,-11.719,30.762
1574477754.439,-31.738,17.090,30.762,-31.250,63.477
1574477754.442,-12.695,27.832,33.691,-27.832,68.848
1574477754.446,-2.930,35.156,33.203,-7.324,52.246
1574477754.450,-1.953,37.598,33.691,-3.906,38.086
1574477754.454,-6.836,34.180,32.715,-20.508,43.945
1574477754.458,-15.625,24.902,34.180,-27.344,31.250
1574477754.462,-12.695,29.297,30.273,-2.930,13.184
1574477754.466,-11.230,36.133,18.066,0.977,0.000
1574477754.470,-12.207,30.273,10.742,-21.973,1.465
1574477754.474,-8.789,25.879,8.301,-26.367,-19.043
1574477754.478,-17.090,26.855,21.973,-27.832,65.430
